textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","729,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","11.456,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399165,INV-001133201,TOTAL,"114.576,23","114.576,23","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","56.300,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","0,00","56.300,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","0,00","144.599,00",4-4000 - Penjualan
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","97.227,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","25.157,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","2.000,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","18.965,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1400755,INV-001134252,TOTAL,"200.899,00","200.899,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399138,INV-001133176,TOTAL,"119.995,72","119.995,72","39.997,72","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399138,INV-001133176,TOTAL,"119.995,72","119.995,72","0,00","39.997,72",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399138,INV-001133176,TOTAL,"119.995,72","119.995,72","0,00","79.998,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399138,INV-001133176,TOTAL,"119.995,72","119.995,72","77.608,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399138,INV-001133176,TOTAL,"119.995,72","119.995,72","2.390,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398839,INV-001132945,TOTAL,"80.000,00","80.000,00","20.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398839,INV-001132945,TOTAL,"80.000,00","80.000,00","0,00","20.000,00",1-1200 - Persediaan Barang
